@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-k6gi.zxkk_te65,row-k6gi.zxkk_te65,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-09-26T13:46:07,2629.0,9.0,WI,2020-09-25T00:00:00,117329,1284,110828.0,1274.0,125,0,6501,10
ds:row-k7mb_shwf-jc96,row-k7mb_shwf-jc96,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,N/A,2021-08-24T14:24:26,2789.0,9.0,WA,2021-08-23T00:00:00,536814,6383,,,499,0,,
ds:row-k8gt-jc87.45ap,row-k8gt-jc87.45ap,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-26T16:22:39,0.0,0.0,CT,2020-03-04T00:00:00,0,0,,,,,,
ds:row-ka59.uiss-jfqb,row-ka59.uiss-jfqb,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-03-12T00:00:00,924.0,19.0,MD,2021-03-10T00:00:00,390490,8519,,8317.0,0,0,,202
ds:row-khu3_qnbp.s9ia,row-khu3_qnbp.s9ia,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-06-17T14:38:09,-3.0,0.0,DE,2021-06-16T00:00:00,109418,1679,101852.0,1536.0,-9,0,7566,143
ds:row-kt64_ydck_hbkp,row-kt64_ydck_hbkp,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-08-09T14:44:15,20.0,0.0,GU,2021-08-08T00:00:00,8725,143,,,2,0,,
ds:row-m3kw-m5c7.jsc2,row-m3kw-m5c7.jsc2,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-03-24T00:00:00,722.0,15.0,MD,2021-03-22T00:00:00,401427,8705,,8500.0,0,0,,205
ds:row-m4kr-w5d9.rgei,row-m4kr-w5d9.rgei,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,N/A,2021-02-03T00:00:00,859.0,33.0,WA,2021-02-01T00:00:00,313551,4318,,,71,0,,
ds:row-m6rk-dnqv-hbzc,row-m6rk-dnqv-hbzc,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-05-12T00:00:00,399.0,7.0,MD,2021-05-10T00:00:00,453800,9428,,9216.0,0,0,,212
ds:row-m747-rn6f-zuq2,row-m747-rn6f-zuq2,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Not agree,2021-08-06T14:53:58,119.0,1.0,ND,2021-08-05T00:00:00,112169,1542,102470.0,,39,0,9699,
ds:row-m8vt_5xwt-52ik,row-m8vt_5xwt-52ik,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,2021-05-14T14:07:22,5.0,0.0,VI,2021-05-13T00:00:00,3261,27,,,0,0,,
ds:row-m92q-rdxz-pfcx,row-m92q-rdxz-pfcx,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,,2021-04-02T13:56:15,350.0,7.0,NV,2021-04-01T00:00:00,304112,5256,304112.0,,0,0,0,
ds:row-m9km_hjr7-qx5m,row-m9km_hjr7-qx5m,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-08-28T00:00:00,375.0,0.0,NE,2020-08-26T00:00:00,32788,383,,,0,0,,
ds:row-mdwk_umpp_4fwy,row-mdwk_umpp_4fwy,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,N/A,Agree,2021-08-30T14:26:22,530.0,6.0,MD,2021-08-29T00:00:00,494982,9995,,9772.0,0,0,,223
ds:row-miw3.ntk2-dcmq,row-miw3.ntk2-dcmq,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-05-24T00:00:00,111.0,2.0,DE,2020-05-22T00:00:00,8819,324,7972.0,301.0,7,0,847,23
